Ирландский Виски,,
Jameson,50/500мл,250/2500р
Американский виски/бурбон,,
Jack Daniels,50/700мл,300/4200р
Jim Beam,50/700мл,250/3500р
Jim Beam Red Stag,50/700мл,280/3920р
Текила,,
Olmeca Gold,50/700мл,250/3780р
Olmeca Blanco,50/700мл,230/3220р
Джин,,
Beefeater,50/700мл,230/3220р
Водка,,
Мягков,50/500мл,80/800р
Русский стандарт,50/500мл,130/1300р
Финляндия,50/500мл,150/1500р
Ликеры/настойки,,
Sambuca,50/700мл,200/2800р
Baileys,50/700мл,200/2800р
Cointreau,50/700мл,250/3500р
Becherovka,50/700мл,200/2800р
Absinthe,50/700мл,300/4200р
Jagermeister,50/700мл,200/2800р
Campari,50/700мл,200/2800р
Пиво бутылочное,,
Миллер,"0,33л",220р
Корона Экстра,"0,33л",180р
Пиво разливное,,
Жигули барное светлое,"0,3/0,5л",120/150р
Blanche De Flear,"0,3/0,5л",140/180р
